2025.05.01-00.05.19;SupremeFighter_;00021e7e771b43e0a0d39aed21e7149d;SupremeFighter_;00021e7e771b43e0a0d39aed21e7149d;suicide_by_relocation;0;PS5;PS5;
2025.05.01-00.07.00;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;suicide_by_relocation;0;PS5;PS5;
2025.05.01-00.07.23;HallagerTheDane;00024d4be1e44ba0aa342b39b0fb9937;KT93141;00022ba2df89427c8a252ab6be1df3f3;M99;152;PS5;XSX;
2025.05.01-00.10.49;OGz Shogun;0002b3c1884e4c10b0c6850466cbff5d;ZoRo8740;0002f4bfa4964fd982602eeeaf3d7448;IZH-70;7;XSX;XSX;
2025.05.01-00.12.49;HallagerTheDane;00024d4be1e44ba0aa342b39b0fb9937;DG big native;0002aa7fe5444613a9d490007c405218;M99;82;PS5;XSX;
2025.05.01-00.16.07;Revz3102;0002dd7e36b945b78079a5119914c955;Revz3102;0002dd7e36b945b78079a5119914c955;suicide_by_relocation;0;XSX;XSX;
2025.05.01-00.21.35;deathoverlord66;00024ceb44074e1b9786ccb4438cb386;SupremeFighter_;00021e7e771b43e0a0d39aed21e7149d;AK-mod;28;PS5;PS5;
2025.05.01-00.30.51;Soaporific;0002d39fe59d43dda7461fdbf9d65bd9;Soaporific;0002d39fe59d43dda7461fdbf9d65bd9;suicide_by_relocation;0;PS5;PS5;
2025.05.01-00.36.41;SupremeFighter_;00021e7e771b43e0a0d39aed21e7149d;SupremeFighter_;00021e7e771b43e0a0d39aed21e7149d;suicide_by_relocation;0;PS5;PS5;
2025.05.01-00.53.53;KT93141;00022ba2df89427c8a252ab6be1df3f3;attacker92;0002f53bddbb4b45845d423ee4787691;S85;42;XSX;XSX;
2025.05.01-00.54.50;Dominique5921;00025955d2544c0ab2cf058ec1b77e9e;KT93141;00022ba2df89427c8a252ab6be1df3f3;Mosin;23;XSX;XSX;
2025.05.01-00.57.12;attacker92;0002f53bddbb4b45845d423ee4787691;KT93141;00022ba2df89427c8a252ab6be1df3f3;AK-SM;16;XSX;XSX;
2025.05.01-02.18.17;attacker92;0002f53bddbb4b45845d423ee4787691;attacker92;0002f53bddbb4b45845d423ee4787691;falling;0;XSX;XSX;
2025.05.01-02.43.59;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;suicide_by_relocation;0;PS5;PS5;
2025.05.01-05.30.42;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;falling;0;PS5;PS5;
2025.05.01-06.26.56;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;iTz_Majestic_;00025375b2da46b79ed22e02a11d7a9a;suicide_by_relocation;0;PS5;PS5;
2025.05.01-08.46.58;ExHyper;000240ecc1ba45d59962bc2d34e0177e;ExHyper;000240ecc1ba45d59962bc2d34e0177e;suicide_by_relocation;0;PS5;PS5;
2025.05.01-08.51.25;O-Murphy-O;000231ec84444547b98f5991cbbf693b;deathoverlord66;00024ceb44074e1b9786ccb4438cb386;AK-SM;3;PS5;PS5;
2025.05.01-09.21.39;ashleebanjo;0002232496f74e698ee39ffe43824446;ashleebanjo;0002232496f74e698ee39ffe43824446;suicide_by_relocation;0;PS5;PS5;
2025.05.01-09.31.30;CSTANTON007;00022e5972cd496d96f08718839a246c;CSTANTON007;00022e5972cd496d96f08718839a246c;suicide_by_relocation;0;XSX;XSX;
2025.05.01-09.41.19;vAsxre;0002a6f73c2949c6b723071f9ba409dc;ExHyper;000240ecc1ba45d59962bc2d34e0177e;BB-19;15;XSX;PS5;
2025.05.01-10.20.25;DrRefusaI;0002345a80084d7d945eeed823651723;DrRefusaI;0002345a80084d7d945eeed823651723;suicide_by_relocation;0;PS5;PS5;
2025.05.01-10.30.16;DrRefusaI;0002345a80084d7d945eeed823651723;DrRefusaI;0002345a80084d7d945eeed823651723;suicide_by_relocation;0;PS5;PS5;
2025.05.01-10.34.14;kapoejim5314;0002d3205b84440ab70cc666a8980019;kapoejim5314;0002d3205b84440ab70cc666a8980019;suicide_by_relocation;0;PS5;PS5;
2025.05.01-10.40.04;Serial Nince;00028d6911a042fa87402625e0b961e0;Serial Nince;00028d6911a042fa87402625e0b961e0;suicide_by_relocation;0;XSX;XSX;
2025.05.01-10.52.07;O-Murphy-O;000231ec84444547b98f5991cbbf693b;Serial Nince;00028d6911a042fa87402625e0b961e0;AK-SM;3;PS5;XSX;
2025.05.01-11.21.57;Bacomen010;0002a0ba724e40a5a7f5b336bce2673c;Bacomen010;0002a0ba724e40a5a7f5b336bce2673c;suicide_by_relocation;0;PS5;PS5;
2025.05.01-11.27.06;XBUMBLE B3E03X;0002473f9fbb44ea8029f366d35d7572;Serial Nince;00028d6911a042fa87402625e0b961e0;Skar;1;XSX;XSX;
2025.05.01-11.28.25;AGRRO;0002656da0c54a469d8923cacbed7a9b;O-Murphy-O;000231ec84444547b98f5991cbbf693b;AR4;1;XSX;PS5;
2025.05.01-11.34.58;Serial Nince;00028d6911a042fa87402625e0b961e0;Serial Nince;00028d6911a042fa87402625e0b961e0;falling;0;XSX;XSX;
2025.05.01-11.37.54;vAsxre;0002a6f73c2949c6b723071f9ba409dc;kapoejim5314;0002d3205b84440ab70cc666a8980019;Mosin;103;XSX;PS5;
2025.05.01-11.42.51;DrRefusaI;0002345a80084d7d945eeed823651723;DrRefusaI;0002345a80084d7d945eeed823651723;suicide_by_relocation;0;PS5;PS5;
2025.05.01-11.45.00;vAsxre;0002a6f73c2949c6b723071f9ba409dc;kapoejim5314;0002d3205b84440ab70cc666a8980019;AR4;10;XSX;PS5;
2025.05.01-11.47.41;XBUMBLE B3E03X;0002473f9fbb44ea8029f366d35d7572;r3dlin3rs;000253c645c14fc5b0134b19ee6e3b16;Mosin;97;XSX;XSX;
2025.05.01-11.48.37;vAsxre;0002a6f73c2949c6b723071f9ba409dc;kapoejim5314;0002d3205b84440ab70cc666a8980019;Mosin;73;XSX;PS5;
2025.05.01-11.50.25;g36c_granate;00029b8eaf7a4ff8819855bf8046388b;Trumps_wet_dream;00021b79ea16420587d3ace8a945d55e;AK-SU;1;PS5;PS5;
2025.05.01-11.53.06;O-Murphy-O;000231ec84444547b98f5991cbbf693b;cuhslice;00026a6207f5474985e018da4ea98b8f;MS590;2;PS5;PS5;
2025.05.01-11.54.07;vAsxre;0002a6f73c2949c6b723071f9ba409dc;kapoejim5314;0002d3205b84440ab70cc666a8980019;AR4;18;XSX;PS5;
2025.05.01-11.55.02;TedTornado;0002a62a37fe448fa752fb47281e9de7;OGz DelBoy;0002d8ab00ae449686f761dd9ca119f7;Mosin;3;XSX;XSX;
2025.05.01-12.02.44;not_againOOHS;0002d80c512b44f1a1398abae384854d;not_againOOHS;0002d80c512b44f1a1398abae384854d;suicide_by_relocation;0;PS5;PS5;
2025.05.01-12.06.07;OGz DelBoy;0002d8ab00ae449686f761dd9ca119f7;OGz ApexWolf;00025a3d833a4d40bd885e57fa67f015;Fire Axe;1;XSX;XSX;
2025.05.01-12.11.52;not_againOOHS;0002d80c512b44f1a1398abae384854d;not_againOOHS;0002d80c512b44f1a1398abae384854d;suicide_by_relocation;0;PS5;PS5;
2025.05.01-12.14.55;XBUMBLE B3E03X;0002473f9fbb44ea8029f366d35d7572;g36c_granate;00029b8eaf7a4ff8819855bf8046388b;Mosin;106;XSX;PS5;
2025.05.01-12.15.58;OGz DelBoy;0002d8ab00ae449686f761dd9ca119f7;OGz DelBoy;0002d8ab00ae449686f761dd9ca119f7;suicide_by_relocation;0;XSX;XSX;
2025.05.01-12.16.07;ONi OhPeeCee;0002e0b9a4714cc3b73bc8482f37a54c;ONi OhPeeCee;0002e0b9a4714cc3b73bc8482f37a54c;falling;0;XSX;XSX;
